date,dxy_delta20d,z,score
date,dxy_delta20d,z
2023-10-14,2.11,-2.39
2023-10-15,3.73,-0.77
2023-10-16,8.20,3.70
2023-10-17,5.11,0.61
2023-10-18,5.28,0.78
2023-10-19,6.58,2.08
2023-10-20,6.03,1.53
2023-10-21,8.80,4.30
2023-10-22,9.39,4.89
2023-10-23,19.08,14.58
2023-10-24,23.75,19.25
2023-10-25,23.48,18.98
2023-10-26,22.08,17.58
2023-10-27,21.38,16.88
2023-10-28,23.51,19.01
2023-10-29,26.07,21.57
2023-10-30,28.38,23.88
2023-10-31,29.55,25.05
2023-11-01,31.93,27.43
2023-11-02,30.16,25.66
2023-11-03,27.75,23.25
2023-11-04,23.02,18.52
2023-11-05,23.33,18.83
2023-11-06,23.77,19.27
2023-11-07,23.25,18.75
2023-11-08,20.06,15.56
2023-11-09,22.66,18.16
2023-11-10,24.40,19.90
2023-11-11,12.24,7.74
2023-11-12,9.33,4.83
2023-11-13,5.71,1.21
2023-11-14,4.10,-0.40
2023-11-15,11.74,7.24
2023-11-16,6.09,1.59
2023-11-17,6.07,1.57
2023-11-18,6.09,1.59
2023-11-19,7.89,3.39
2023-11-20,5.74,1.24
2023-11-21,2.29,-2.21
2023-11-22,7.75,3.25
2023-11-23,6.32,1.82
2023-11-24,7.74,3.24
2023-11-25,7.83,3.33
2023-11-26,5.78,1.28
2023-11-27,4.50,0.00
2023-11-28,3.08,-1.42
2023-11-29,1.44,-3.06
2023-11-30,1.60,-2.90
2023-12-01,4.36,-0.14
2023-12-02,8.23,3.73
2023-12-03,12.46,7.96
2023-12-04,10.83,6.33
2023-12-05,21.91,17.41
2023-12-06,19.47,14.97
2023-12-07,18.27,13.77
2023-12-08,18.19,13.69
2023-12-09,16.67,12.17
2023-12-10,22.49,17.99
2023-12-11,10.17,5.67
2023-12-12,11.19,6.69
2023-12-13,13.62,9.12
2023-12-14,13.81,9.31
2023-12-15,11.93,7.43
2023-12-16,13.41,8.91
2023-12-17,9.28,4.78
2023-12-18,12.64,8.14
2023-12-19,12.02,7.52
2023-12-20,12.84,8.34
2023-12-21,11.14,6.64
2023-12-22,10.08,5.58
2023-12-23,4.14,-0.36
2023-12-24,-2.40,-6.90
2023-12-25,-0.40,-4.90
2023-12-26,-1.77,-6.27
2023-12-27,-1.63,-6.13
2023-12-28,-2.61,-7.11
2023-12-29,-3.95,-8.45
