date,fng_value,z,score
date,fng_value,z
2023-10-01,65.9,-7.04
2023-10-02,67.7,-5.24
2023-10-03,66.8,-6.14
2023-10-04,66.0,-6.94
2023-10-05,66.3,-6.64
2023-10-06,66.2,-6.74
2023-10-07,65.5,-7.44
2023-10-08,65.0,-7.94
2023-10-09,65.6,-7.34
2023-10-10,65.8,-7.14
2023-10-11,65.5,-7.44
2023-10-12,65.5,-7.44
2023-10-13,65.5,-7.44
2023-10-14,60.8,-12.14
2023-10-15,60.7,-12.24
2023-10-16,67.0,-5.94
2023-10-17,66.9,-6.04
2023-10-18,66.4,-6.54
2023-10-19,66.0,-6.94
2023-10-20,68.0,-4.94
2023-10-21,67.9,-5.04
2023-10-22,67.2,-5.74
2023-10-23,80.3,7.36
2023-10-24,78.8,5.86
2023-10-25,78.0,5.06
2023-10-26,78.9,5.96
2023-10-27,79.3,6.36
2023-10-28,79.5,6.56
2023-10-29,78.1,5.16
2023-10-30,77.9,4.96
2023-10-31,77.6,4.66
2023-11-01,77.7,4.76
2023-11-02,78.3,5.36
2023-11-03,78.8,5.86
2023-11-04,78.7,5.76
2023-11-05,62.1,-10.84
2023-11-06,60.5,-12.44
2023-11-07,59.9,-13.04
2023-11-08,59.3,-13.64
2023-11-09,61.2,-11.74
2023-11-10,61.5,-11.44
2023-11-11,61.8,-11.14
2023-11-12,61.8,-11.14
2023-11-13,63.2,-9.74
2023-11-14,64.1,-8.84
2023-11-15,71.8,-1.14
2023-11-16,75.7,2.76
2023-11-17,75.8,2.86
2023-11-18,75.8,2.86
2023-11-19,76.2,3.26
2023-11-20,76.1,3.16
2023-11-21,79.4,6.46
2023-11-22,81.0,8.06
2023-11-23,80.7,7.76
2023-11-24,80.8,7.86
2023-11-25,80.8,7.86
2023-11-26,80.5,7.56
2023-11-27,79.6,6.66
2023-11-28,74.1,1.16
2023-11-29,70.2,-2.74
2023-11-30,70.1,-2.84
2023-12-01,71.0,-1.94
2023-12-02,70.9,-2.04
2023-12-03,71.0,-1.94
2023-12-04,68.4,-4.54
2023-12-05,68.9,-4.04
2023-12-06,69.2,-3.74
2023-12-07,70.2,-2.74
2023-12-08,70.1,-2.84
2023-12-09,70.3,-2.64
2023-12-10,69.9,-3.04
2023-12-11,77.4,4.46
2023-12-12,77.4,4.46
2023-12-13,78.0,5.06
2023-12-14,77.7,4.76
2023-12-15,78.9,5.96
2023-12-16,78.8,5.86
2023-12-17,76.3,3.36
2023-12-18,73.9,0.96
2023-12-19,73.9,0.96
2023-12-20,75.6,2.66
2023-12-21,74.9,1.96
2023-12-22,74.8,1.86
2023-12-23,74.8,1.86
2023-12-24,69.0,-3.94
2023-12-25,69.2,-3.74
2023-12-26,68.5,-4.44
2023-12-27,69.5,-3.44
2023-12-28,69.0,-3.94
2023-12-29,69.2,-3.74
2023-12-30,68.3,-4.64
2023-12-31,66.2,-6.74
2024-01-01,70.1,-2.84
2024-01-02,68.6,-4.34
2024-01-03,72.8,-0.14
2024-01-04,74.4,1.46
2024-01-05,74.3,1.36
2024-01-06,73.8,0.86
2024-01-07,73.6,0.66
2024-01-08,78.6,5.66
2024-01-09,79.1,6.16
2024-01-10,78.1,5.16
2024-01-11,77.9,4.96
2024-01-12,85.9,12.96
2024-01-13,85.9,12.96
2024-01-14,84.3,11.36
2024-01-15,84.3,11.36
2024-01-16,82.3,9.36
2024-01-17,81.1,8.16
2024-01-18,82.3,9.36
2024-01-19,82.4,9.46
2024-01-20,82.5,9.56
2024-01-21,74.8,1.86
2024-01-22,76.9,3.96
2024-01-23,76.7,3.76
2024-01-24,77.1,4.16
2024-01-25,69.2,-3.74
2024-01-26,73.6,0.66
2024-01-27,72.6,-0.34
2024-01-28,72.0,-0.94
2024-01-29,73.2,0.26
2024-01-30,73.1,0.16
2024-01-31,71.2,-1.74
2024-02-01,71.3,-1.64
2024-02-02,71.3,-1.64
2024-02-03,71.3,-1.64
2024-02-04,65.9,-7.04
2024-02-05,65.9,-7.04
2024-02-06,66.0,-6.94
2024-02-07,66.8,-6.14
2024-02-08,63.4,-9.54
2024-02-09,66.3,-6.64
2024-02-10,66.0,-6.94
2024-02-11,64.9,-8.04
2024-02-12,65.4,-7.54
2024-02-13,64.9,-8.04
2024-02-14,67.0,-5.94
2024-02-15,67.1,-5.84
2024-02-16,66.5,-6.44
2024-02-17,66.4,-6.54
2024-02-18,66.1,-6.84
2024-02-19,67.2,-5.74
2024-02-20,66.7,-6.24
2024-02-21,67.4,-5.54
2024-02-22,65.9,-7.04
2024-02-23,66.3,-6.64
2024-02-24,66.5,-6.44
2024-02-25,64.3,-8.64
2024-02-26,69.6,-3.34
2024-02-27,70.1,-2.84
2024-02-28,80.7,7.76
2024-02-29,82.1,9.16
2024-03-01,81.5,8.56
2024-03-02,82.0,9.06
2024-03-03,81.4,8.46
2024-03-04,86.0,13.06
2024-03-05,92.5,19.56
2024-03-06,91.9,18.96
2024-03-07,91.1,18.16
2024-03-08,91.0,18.06
2024-03-09,91.1,18.16
2024-03-10,90.2,17.26
2024-03-11,90.1,17.16
2024-03-12,83.9,10.96
2024-03-13,82.7,9.76
2024-03-14,84.2,11.26
2024-03-15,85.3,12.36
2024-03-16,89.9,16.96
2024-03-17,85.4,12.46
2024-03-18,79.9,6.96
2024-03-19,86.7,13.76
2024-03-20,95.4,22.46
2024-03-21,96.1,23.16
2024-03-22,96.4,23.46
2024-03-23,96.4,23.46
2024-03-24,96.8,23.86
2024-03-25,98.2,25.26
2024-03-26,97.8,24.86
2024-03-27,97.4,24.46
2024-03-28,97.1,24.16
2024-03-29,93.7,20.76
2024-03-30,92.1,19.16
2024-03-31,92.3,19.36
2024-04-01,84.8,11.86
2024-04-02,79.5,6.56
2024-04-03,78.0,5.06
2024-04-04,78.5,5.56
2024-04-05,78.8,5.86
2024-04-06,76.0,3.06
2024-04-07,73.7,0.76
2024-04-08,75.3,2.36
2024-04-09,77.1,4.16
2024-04-10,77.2,4.26
2024-04-11,77.1,4.16
2024-04-12,79.3,6.36
2024-04-13,80.4,7.46
2024-04-14,81.4,8.46
2024-04-15,78.5,5.56
2024-04-16,78.5,5.56
2024-04-17,77.5,4.56
2024-04-18,79.9,6.96
2024-04-19,79.5,6.56
2024-04-20,80.0,7.06
2024-04-21,78.1,5.16
2024-04-22,78.4,5.46
2024-04-23,77.5,4.56
2024-04-24,78.5,5.56
2024-04-25,76.8,3.86
2024-04-26,73.8,0.86
2024-04-27,72.5,-0.44
2024-04-28,70.4,-2.54
2024-04-29,70.6,-2.34
2024-04-30,72.4,-0.54
2024-05-01,71.8,-1.14
2024-05-02,72.2,-0.74
2024-05-03,78.7,5.76
2024-05-04,79.1,6.16
2024-05-05,77.8,4.86
2024-05-06,77.9,4.96
2024-05-07,76.8,3.86
2024-05-08,77.1,4.16
2024-05-09,78.5,5.56
2024-05-10,80.1,7.16
2024-05-11,80.1,7.16
2024-05-12,80.1,7.16
2024-05-13,77.3,4.36
2024-05-14,75.7,2.76
2024-05-15,82.0,9.06
2024-05-16,78.2,5.26
2024-05-17,78.8,5.86
2024-05-18,78.8,5.86
2024-05-19,78.7,5.76
2024-05-20,84.2,11.26
2024-05-21,84.2,11.26
2024-05-22,84.3,11.36
2024-05-23,82.8,9.86
2024-05-24,82.7,9.76
2024-05-25,82.7,9.76
2024-05-26,82.8,9.86
2024-05-27,81.8,8.86
2024-05-28,75.8,2.86
2024-05-29,75.6,2.66
2024-05-30,74.8,1.86
2024-05-31,75.0,2.06
2024-06-01,74.8,1.86
2024-06-02,61.7,-11.24
2024-06-03,62.0,-10.94
2024-06-04,63.3,-9.64
2024-06-05,62.2,-10.74
2024-06-06,62.3,-10.64
2024-06-07,63.5,-9.44
2024-06-08,63.0,-9.94
2024-06-09,62.6,-10.34
2024-06-10,61.9,-11.04
2024-06-11,64.5,-8.44
2024-06-12,64.6,-8.34
2024-06-13,65.4,-7.54
2024-06-14,65.6,-7.34
2024-06-15,65.7,-7.24
2024-06-16,65.1,-7.84
2024-06-17,62.8,-10.14
2024-06-18,62.8,-10.14
2024-06-19,62.9,-10.04
2024-06-20,62.3,-10.64
2024-06-22,62.2,-10.74
2024-06-23,62.1,-10.84
2024-06-24,65.8,-7.14
2024-06-25,67.2,-5.74
2024-06-26,66.3,-6.64
2024-06-27,66.8,-6.14
2024-06-28,67.2,-5.74
2024-06-29,67.6,-5.34
2024-06-30,69.8,-3.14
2024-07-01,69.9,-3.04
2024-07-02,69.5,-3.44
2024-07-03,70.8,-2.14
2024-07-04,74.1,1.16
2024-07-05,74.1,1.16
2024-07-06,75.9,2.96
2024-07-07,75.4,2.46
2024-07-08,74.5,1.56
2024-07-09,75.6,2.66
2024-07-10,75.2,2.26
2024-07-11,74.7,1.76
2024-07-12,74.7,1.76
2024-07-13,74.1,1.16
2024-07-14,75.5,2.56
2024-07-15,80.8,7.86
2024-07-16,79.2,6.26
2024-07-17,74.9,1.96
2024-07-18,74.7,1.76
2024-07-19,75.8,2.86
2024-07-20,71.1,-1.84
2024-07-21,71.1,-1.84
2024-07-22,71.8,-1.14
2024-07-23,73.4,0.46
2024-07-24,73.6,0.66
2024-07-25,73.6,0.66
2024-07-26,74.1,1.16
2024-07-27,73.8,0.86
2024-07-28,67.5,-5.44
2024-07-29,68.8,-4.14
2024-07-30,68.4,-4.54
2024-07-31,69.7,-3.24
2024-08-01,66.0,-6.94
2024-08-02,71.9,-1.04
2024-08-03,71.0,-1.94
2024-08-04,72.8,-0.14
2024-08-05,77.7,4.76
2024-08-06,81.0,8.06
2024-08-07,80.6,7.66
2024-08-08,95.5,22.56
2024-08-09,95.5,22.56
