date,mayer,stretch,z,score
date,mayer,stretch,z
2024-04-11,1.5335,53.35,0.38
2024-04-12,1.4641,46.41,0.32
2024-04-13,1.3902,39.02,0.24
2024-04-14,1.4222,42.22,0.27
2024-04-15,1.3665,36.65,0.22
2024-04-16,1.3689,36.89,0.22
2024-04-17,1.3097,30.97,0.16
2024-04-18,1.3523,35.23,0.20
2024-04-19,1.3542,35.42,0.21
2024-04-20,1.3725,37.25,0.22
2024-04-21,1.3668,36.68,0.22
2024-04-22,1.4011,40.11,0.25
2024-04-23,1.3862,38.62,0.24
2024-04-24,1.3361,33.61,0.19
2024-04-25,1.3358,33.58,0.19
2024-04-26,1.3155,31.55,0.17
2024-04-27,1.3040,30.40,0.15
2024-04-28,1.2928,29.28,0.14
2024-04-29,1.3029,30.29,0.15
2024-04-30,1.2329,23.29,0.08
2024-05-01,1.1812,18.12,0.03
2024-05-02,1.1937,19.37,0.04
2024-05-03,1.2669,26.69,0.12
2024-05-04,1.2822,28.22,0.13
2024-05-05,1.2801,28.01,0.13
2024-05-06,1.2585,25.85,0.11
2024-05-07,1.2376,23.76,0.09
2024-05-08,1.2111,21.11,0.06
2024-05-09,1.2447,24.47,0.10
2024-05-10,1.1963,19.63,0.05
2024-05-11,1.1937,19.37,0.04
2024-05-12,1.2031,20.31,0.05
2024-05-13,1.2286,22.86,0.08
2024-05-14,1.1981,19.81,0.05
2024-05-15,1.2857,28.57,0.14
2024-05-16,1.2627,26.27,0.11
2024-05-17,1.2933,29.33,0.14
2024-05-18,1.2870,28.70,0.14
2024-05-19,1.2705,27.05,0.12
2024-05-20,1.3648,36.48,0.22
2024-05-21,1.3357,33.57,0.19
2024-05-22,1.3118,31.18,0.16
2024-05-23,1.2855,28.55,0.14
2024-05-24,1.2929,29.29,0.14
2024-05-25,1.3028,30.28,0.15
2024-05-26,1.2835,28.35,0.13
2024-05-27,1.2963,29.63,0.15
2024-05-28,1.2730,27.30,0.12
2024-05-29,1.2555,25.55,0.11
2024-05-30,1.2661,26.61,0.12
2024-05-31,1.2464,24.64,0.10
2024-06-01,1.2473,24.73,0.10
2024-06-02,1.2442,24.42,0.10
2024-06-03,1.2598,25.98,0.11
2024-06-04,1.2879,28.79,0.14
2024-06-05,1.2943,29.43,0.15
2024-06-06,1.2841,28.41,0.14
2024-06-07,1.2542,25.42,0.11
2024-06-08,1.2500,25.00,0.10
2024-06-09,1.2524,25.24,0.10
2024-06-10,1.2463,24.63,0.10
2024-06-11,1.2040,20.40,0.05
2024-06-12,1.2173,21.73,0.07
2024-06-13,1.1873,18.73,0.04
2024-06-14,1.1713,17.13,0.02
2024-06-15,1.1716,17.16,0.02
2024-06-16,1.1764,17.64,0.03
2024-06-17,1.1708,17.08,0.02
2024-06-18,1.1447,14.47,-0.00
2024-06-19,1.1385,13.85,-0.01
2024-06-20,1.1342,13.42,-0.01
2024-06-22,1.1215,12.15,-0.03
2024-06-23,1.1011,10.11,-0.05
2024-06-24,1.0489,4.89,-0.10
2024-06-25,1.0737,7.37,-0.08
2024-06-26,1.0553,5.53,-0.09
2024-06-27,1.0675,6.75,-0.08
2024-06-28,1.0434,4.34,-0.11
2024-06-29,1.0515,5.15,-0.10
2024-06-30,1.0803,8.03,-0.07
2024-07-01,1.0813,8.13,-0.07
2024-07-02,1.0659,6.59,-0.08
2024-07-03,1.0318,3.18,-0.12
2024-07-04,0.9773,-2.27,-0.17
2024-07-05,0.9691,-3.09,-0.18
2024-07-06,0.9953,-0.47,-0.15
2024-07-07,0.9533,-4.67,-0.20
2024-07-08,0.9667,-3.33,-0.18
2024-07-09,0.9884,-1.16,-0.16
2024-07-10,0.9816,-1.84,-0.17
2024-07-11,0.9741,-2.59,-0.17
2024-07-12,0.9826,-1.74,-0.17
2024-07-13,1.0035,0.35,-0.15
2024-07-14,1.0288,2.88,-0.12
2024-07-15,1.0936,9.36,-0.06
2024-07-16,1.0971,9.71,-0.05
2024-07-17,1.0782,7.82,-0.07
2024-07-18,1.0745,7.45,-0.07
2024-07-19,1.1180,11.80,-0.03
2024-07-20,1.1235,12.35,-0.03
2024-07-21,1.1383,13.83,-0.01
2024-07-22,1.1256,12.56,-0.02
2024-07-23,1.0966,9.66,-0.05
2024-07-24,1.0852,8.52,-0.06
2024-07-25,1.0903,9.03,-0.06
2024-07-26,1.1234,12.34,-0.03
2024-07-27,1.1210,12.10,-0.03
2024-07-28,1.1247,12.47,-0.02
2024-07-29,1.0986,9.86,-0.05
2024-07-30,1.0869,8.69,-0.06
2024-07-31,1.0594,5.94,-0.09
2024-08-01,1.0685,6.85,-0.08
2024-08-02,1.0036,0.36,-0.15
2024-08-03,0.9900,-1.00,-0.16
2024-08-04,0.9473,-5.27,-0.20
2024-08-05,0.8796,-12.04,-0.27
2024-08-06,0.9114,-8.86,-0.24
2024-08-07,0.8958,-10.42,-0.25
2024-08-08,1.0007,0.07,-0.15
2024-08-09,0.9855,-1.45,-0.16
2024-08-10,0.9849,-1.51,-0.16
2024-08-11,0.9477,-5.23,-0.20
2024-08-12,0.9565,-4.35,-0.19
2024-08-13,0.9749,-2.51,-0.17
2024-08-14,0.9429,-5.71,-0.21
2024-08-15,0.9233,-7.67,-0.23
2024-08-16,0.9436,-5.64,-0.21
2024-08-17,0.9521,-4.79,-0.20
2024-08-18,0.9340,-6.60,-0.22
2024-08-19,0.9490,-5.10,-0.20
2024-08-20,0.9408,-5.92,-0.21
2024-08-21,0.9736,-2.64,-0.18
2024-08-22,0.9599,-4.01,-0.19
2024-08-23,1.0170,1.70,-0.13
2024-08-24,1.0168,1.68,-0.13
2024-08-25,1.0162,1.62,-0.13
2024-08-26,0.9924,-0.76,-0.16
2024-08-27,0.9377,-6.23,-0.21
2024-08-28,0.9306,-6.94,-0.22
2024-08-29,0.9348,-6.52,-0.21
2024-08-30,0.9300,-7.00,-0.22
2024-08-31,0.9271,-7.29,-0.22
2024-09-01,0.9003,-9.97,-0.25
2024-09-02,0.9287,-7.13,-0.22
2024-09-03,0.9021,-9.79,-0.25
2024-09-04,0.9095,-9.05,-0.24
2024-09-05,0.8807,-11.93,-0.27
2024-09-06,0.8460,-15.40,-0.30
2024-09-07,0.8491,-15.09,-0.30
2024-09-08,0.8603,-13.97,-0.29
2024-09-09,0.8940,-10.60,-0.26
2024-09-10,0.9028,-9.72,-0.25
2024-09-11,0.8977,-10.23,-0.25
2024-09-12,0.9096,-9.04,-0.24
2024-09-13,0.9465,-5.35,-0.20
2024-09-14,0.9378,-6.22,-0.21
2024-09-15,0.9238,-7.62,-0.23
2024-09-16,0.9098,-9.02,-0.24
2024-09-17,0.9428,-5.72,-0.21
2024-09-18,0.9656,-3.44,-0.18
2024-09-19,0.9841,-1.59,-0.16
2024-09-20,0.9880,-1.20,-0.16
2024-09-21,0.9908,-0.92,-0.16
2024-09-22,0.9942,-0.58,-0.15
2024-09-23,0.9907,-0.93,-0.16
2024-09-24,1.0055,0.55,-0.14
2024-09-25,0.9880,-1.20,-0.16
2024-09-26,1.0203,2.03,-0.13
2024-09-27,1.0301,3.01,-0.12
2024-09-28,1.0317,3.17,-0.12
2024-09-29,1.0282,2.82,-0.12
2024-09-30,0.9929,-0.71,-0.16
2024-10-01,0.9543,-4.57,-0.19
2024-10-02,0.9525,-4.75,-0.20
2024-10-03,0.9546,-4.54,-0.19
2024-10-04,0.9762,-2.38,-0.17
2024-10-05,0.9760,-2.40,-0.17
2024-10-06,0.9879,-1.21,-0.16
2024-10-07,0.9787,-2.13,-0.17
2024-10-08,0.9778,-2.22,-0.17
2024-10-09,0.9537,-4.63,-0.20
2024-10-10,0.9493,-5.07,-0.20
2024-10-11,0.9849,-1.51,-0.16
2024-10-12,0.9960,-0.40,-0.15
2024-10-13,0.9911,-0.89,-0.16
2024-10-14,1.0422,4.22,-0.11
2024-10-15,1.0582,5.82,-0.09
2024-10-16,1.0671,6.71,-0.08
2024-10-17,1.0640,6.40,-0.09
2024-10-18,1.0804,8.04,-0.07
2024-10-19,1.0795,7.95,-0.07
2024-10-20,1.0895,8.95,-0.06
2024-10-21,1.0630,6.30,-0.09
2024-10-22,1.0637,6.37,-0.09
2024-10-23,1.0515,5.15,-0.10
2024-10-24,1.0761,7.61,-0.07
2024-10-25,1.0512,5.12,-0.10
2024-10-26,1.0587,5.87,-0.09
2024-10-27,1.0735,7.35,-0.08
2024-10-28,1.1048,10.48,-0.04
2024-10-29,1.1488,14.88,-0.00
2024-10-30,1.1420,14.20,-0.01
2024-10-31,1.1079,10.79,-0.04
2024-11-01,1.0961,9.61,-0.05
2024-11-02,1.0938,9.38,-0.06
2024-11-03,1.0836,8.36,-0.07
2024-11-04,1.0684,6.84,-0.08
2024-11-05,1.0927,9.27,-0.06
2024-11-06,1.1903,19.03,0.04
2024-11-07,1.1935,19.35,0.04
2024-11-08,1.2026,20.26,0.05
2024-11-09,1.2040,20.40,0.05
2024-11-10,1.2609,26.09,0.11
2024-11-11,1.3890,38.90,0.24
2024-11-12,1.3750,37.50,0.23
2024-11-13,1.4104,41.04,0.26
2024-11-14,1.3588,35.88,0.21
2024-11-15,1.4135,41.35,0.26
2024-11-16,1.4040,40.40,0.25
2024-11-17,1.3893,38.93,0.24
2024-11-18,1.3956,39.56,0.25
2024-11-19,1.4215,42.15,0.27
2024-11-20,1.4481,44.81,0.30
2024-11-21,1.5062,50.62,0.36
2024-11-22,1.5111,51.11,0.36
2024-11-23,1.4881,48.81,0.34
2024-11-24,1.4879,48.79,0.34
2024-11-25,1.4082,40.82,0.26
2024-11-26,1.3889,38.89,0.24
2024-11-27,1.4458,44.58,0.30
2024-11-28,1.4378,43.78,0.29
2024-11-29,1.4612,46.12,0.31
2024-11-30,1.4422,44.22,0.29
2024-12-01,1.4503,45.03,0.30
2024-12-02,1.4263,42.63,0.28
2024-12-03,1.4239,42.39,0.27
2024-12-04,1.4624,46.24,0.31
2024-12-05,1.4340,43.40,0.28
2024-12-06,1.4724,47.24,0.32
2024-12-07,1.4699,46.99,0.32
2024-12-08,1.4848,48.48,0.34
2024-12-09,1.4253,42.53,0.28
2024-12-10,1.4126,41.26,0.26
2024-12-11,1.4755,47.55,0.33
2024-12-12,1.4551,45.51,0.31
2024-12-13,1.4720,47.20,0.32
2024-12-14,1.4681,46.81,0.32
2024-12-15,1.5083,50.83,0.36
2024-12-16,1.5279,52.79,0.38
