date,schema_version,pct_change_30d,score
2026-08-17,v2,-1.4595518725621133,76
2026-08-18,v2,-1.2526301268909412,72
2026-08-19,v2,-1.4647960810564873,76
2026-08-20,v2,-1.3194191835551297,74
2026-08-21,v2,-0.9668785073687091,55
2026-08-22,v2,-0.04503633445783365,48
2026-08-23,v2,-0.2821340504467448,51
2026-08-24,v2,-0.3645759155514969,52
2026-08-25,v2,-0.13418454103886476,54
2026-08-26,v2,-0.14245070120744108,55
2026-08-29,v2,0.7568769848556663,39
2026-08-30,v2,0.7252451207717757,39
2026-09-01,v2,0.46968211220354766,48
2026-09-02,v2,0.5559099135219323,47
2026-09-03,v2,0.7361446643533891,45
2026-09-04,v2,0.827053718113772,44
