horizon_days,numeric_band_crosswalk,score_min,score_max,n,mean_return_decimal,median_return_decimal,p25_return_decimal,p75_return_decimal,status,analysis_source_sha,protocol_version
30,Aggressive Buying,0,14,0,,,,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
30,Regular DCA Buying,15,34,0,,,,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
30,Moderate Buying,35,49,60,-0.07966545367596736,-0.023187177057495956,-0.22387578675781064,0.018170172664260242,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
30,Hold & Wait,50,64,229,-0.045398990004635584,-0.02531838453080515,-0.13911177540571218,0.03235734925988232,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
30,Reduce Risk,65,79,3,-0.031753826683147156,0.032322281806037134,-0.06921121393318402,0.03774161481148186,SMALL N — DESCRIPTIVE ONLY,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
30,High Risk,80,100,0,,,,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
90,Aggressive Buying,0,14,0,,,,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
90,Regular DCA Buying,15,34,0,,,,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
90,Moderate Buying,35,49,57,-0.18077313089809416,-0.20718400377730672,-0.2266549949607124,-0.18961662936985024,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
90,Hold & Wait,50,64,175,-0.13919840376105497,-0.16153314544467523,-0.23621272729063086,-0.10205702653662652,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
90,Reduce Risk,65,79,3,-0.21951503419674875,-0.20180440680795964,-0.23069299303498597,-0.19948176166411696,SMALL N — DESCRIPTIVE ONLY,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
90,High Risk,80,100,0,,,,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
180,Aggressive Buying,0,14,0,,,,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
180,Regular DCA Buying,15,34,0,,,,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
180,Moderate Buying,35,49,49,-0.3033152359111613,-0.3080365924566597,-0.3230026195880714,-0.28394488973744114,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
180,Hold & Wait,50,64,100,-0.24463867921338633,-0.2593219319069214,-0.31618384042211267,-0.16900733528529882,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
180,Reduce Risk,65,79,3,-0.40576465328477695,-0.39332208788002665,-0.42304352973588694,-0.3822644941312918,SMALL N — DESCRIPTIVE ONLY,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
180,High Risk,80,100,0,,,,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
