horizon_days,numeric_band_crosswalk,score_min,score_max,n,mean_mace,median_mace,p25_mace,p75_mace,mean_maximum_close_drawdown,median_maximum_close_drawdown,mean_close_to_close_volatility_annualized,median_close_to_close_volatility_annualized,mean_zero_target_downside_deviation_annualized,median_zero_target_downside_deviation_annualized,mace_ge_10pct_event_count,mace_ge_10pct_event_rate,mace_ge_20pct_event_count,mace_ge_20pct_event_rate,mace_ge_30pct_event_count,mace_ge_30pct_event_rate,status,analysis_source_sha,protocol_version
30,Aggressive Buying,0,14,0,,,,,,,,,,,0,,0,,0,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
30,Regular DCA Buying,15,34,0,,,,,,,,,,,0,,0,,0,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
30,Moderate Buying,35,49,60,0.12749719096917123,0.05992891097625247,0.022119028778406047,0.261814614466218,0.172872414468464,0.13942873668515227,0.4703333806088885,0.4304774263622598,0.3726959107991863,0.329394456302531,23,0.38333333333333336,19,0.31666666666666665,14,0.23333333333333334,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
30,Hold & Wait,50,64,229,0.10253430822967886,0.07604999699414028,0.030017624376049712,0.17900309429859707,0.1326574039054024,0.11697713226951212,0.4070811746167363,0.4049371409522258,0.306837729043831,0.2877779922289471,91,0.39737991266375544,44,0.19213973799126638,1,0.004366812227074236,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
30,Reduce Risk,65,79,3,0.07462769789635752,0.02659108702889168,0.026569192008333686,0.09866789835064843,0.15973240558116975,0.14638211053247308,0.43563477033731174,0.4340296881645511,0.3564937885013191,0.33168383697838255,1,0.3333333333333333,0,0,0,0,SMALL N — DESCRIPTIVE ONLY,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
30,High Risk,80,100,0,,,,,,,,,,,0,,0,,0,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
90,Aggressive Buying,0,14,0,,,,,,,,,,,0,,0,,0,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
90,Regular DCA Buying,15,34,0,,,,,,,,,,,0,,0,,0,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
90,Moderate Buying,35,49,57,0.2694410766228299,0.2873567131994098,0.2729631653214659,0.30672850180442046,0.3202985524490675,0.35237072477627807,0.5363496321028791,0.5834162165967823,0.4094839752888883,0.4456799028064507,52,0.9122807017543859,51,0.8947368421052632,18,0.3157894736842105,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
90,Hold & Wait,50,64,175,0.21923680401770052,0.24270538138565945,0.1499842226591181,0.28529365395304135,0.2720035068631595,0.2880299620474407,0.43224791098812326,0.3903692478994379,0.33104818798130764,0.29470486321393347,152,0.8685714285714285,116,0.6628571428571428,31,0.17714285714285713,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
90,Reduce Risk,65,79,3,0.25310801641458996,0.22572228752964318,0.22570487159456576,0.2668182967921408,0.3210075457771078,0.3210075457771078,0.4196206738800045,0.4220168047651879,0.34087614203937416,0.34053011410014944,3,1,3,1,1,0.3333333333333333,SMALL N — DESCRIPTIVE ONLY,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
90,High Risk,80,100,0,,,,,,,,,,,0,,0,,0,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
180,Aggressive Buying,0,14,0,,,,,,,,,,,0,,0,,0,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
180,Regular DCA Buying,15,34,0,,,,,,,,,,,0,,0,,0,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
180,Moderate Buying,35,49,49,0.34832009019596505,0.34563348700372476,0.3134985422326151,0.37141154280285005,0.39569071183722976,0.38485027491730406,0.4922450682072048,0.4931963516206245,0.37722320321743197,0.37836715746446187,49,1,48,0.9795918367346939,46,0.9387755102040817,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
180,Hold & Wait,50,64,100,0.3453440360501564,0.34489785954755703,0.2936487253309825,0.4329276172646841,0.3859118022282083,0.3723853377169405,0.481853908561217,0.4922312522388494,0.3626366204344725,0.374040723867335,100,1,87,0.87,73,0.73,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
180,Reduce Risk,65,79,3,0.4461988741520065,0.42589306310842456,0.42588014964213283,0.4563646931400892,0.4965446224421422,0.49654462244214226,0.5120736790792503,0.5128382180219151,0.4023770641928055,0.40315878578368086,3,1,3,1,3,1,SMALL N — DESCRIPTIVE ONLY,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
180,High Risk,80,100,0,,,,,,,,,,,0,,0,,0,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
